"entidad","nombre_registro","direccion","direccion_limpio","latitud","longitud","contacto"
"DISTRITO FEDERAL DF","JUZGADO N° 12 DEL REGISTRO CIVIL BENITO JUAREZ","Bretaña y Orinoco, Col. Portales, Del. B. Juárez","BRETAÑA Y ORINOCO, COLONIA PORTALES, DEL B JUÁREZ","0","0","5539 6375"
"DISTRITO FEDERAL DF","JUZGADO N° 13","A. Serdan 81, Col. Aragón La Villa, Del. G. Madero","A SERDAN 81, COLONIA ARAGÓN LA VILLA, DEL G MADERO","25.770339700000477","-103.2718497139997","5577 1139"
"DISTRITO FEDERAL DF","JUZGADO N° 14","Liceaga 93, Col. Doctores, Del. Cuauhtémoc.","LICEAGA 93, COLONIA DOCTORES, DEL CUAUHTÉMOC","19.430360350000456","-99.16818003899965","4335-8050, 5578-3716 y 5242 6295 (Ext. 2215)"
"DISTRITO FEDERAL DF","JUZGADO N° 16","Av. Industria Militar (s/n), Estacionamiento anexo a la Sec. de la Defensa Nacional, Col. Lomas de Sotelo, Del. Hidalgo","AVENIDA INDUSTRIA MILITAR (S/N), ESTACIONAMIENTO ANEXO A LA SEC DE LA DEFENSA NACIONAL, COLONIA LOMAS DE SOTELO, DEL HIDALGO","0","0","5395-6910"
"DISTRITO FEDERAL DF","JUZGADO N° 17 DEL REGISTRO CIVIL ALVARO OBREGON","Avenida México, Esquina Avenida Toluca, Col. Progreso Tizapan, Del. A. Obregón","AVENIDA MÉXICO, ESQUINA AVENIDA TOLUCA, COLONIA PROGRESO TIZAPAN, DEL A OBREGÓN","0","0","5550 6183"
"DISTRITO FEDERAL DF","JUZGADO N° 18","Calle 10, Esquina Canarios, Col. Ampliación Toltecas, Del. A. Obregón","CALLE 10, ESQUINA CANARIOS, COLONIA AMPLIACIÓN TOLTECAS, DEL A OBREGÓN","31.857739781000475","-112.83759963599971","5276 6556 y 5276 0036"
"DISTRITO FEDERAL DF","JUZGADO N° 19","Calzada De Las Armas, Esquina Parque Vía, Col. El Rosario, Del. Azcapotzalco","CALZADA DE LAS ARMAS, ESQUINA PARQUE VÍA, COLONIA EL ROSARIO, DEL AZCAPOTZALCO","0","0","5383-5876 y 2626-7125"
"DISTRITO FEDERAL DF","JUZGADO N° 20 DEL REGISTRO CIVIL COYOACAN","Jardín Hidalgo 1, Col. Del Carmen, Del. Coyoacán","JARDÍN HIDALGO 1, COLONIA DEL CARMEN, DEL COYOACÁN","19.33293035100047","-99.1442600739997","554-8565, 5554-0303"
"DISTRITO FEDERAL DF","JUZGADO N° 21 DEL REGISTRO CIVIL CUAJIMALPA","Avenida Juárez, esquina Guillermo Prieto, Col. Cuajimalpa, Del. Cuajimalpa De Morelos","AVENIDA JUÁREZ, ESQUINA GUILLERMO PRIETO, COLONIA CUAJIMALPA, DEL CUAJIMALPA DE MORELOS","0","0","5814-1176 (ext. 2117), 5814-1100 (directo)"
"DISTRITO FEDERAL DF","JUZGADO N° 22","Avenida 517 No 143, primer piso, Centro Social M. Hidalgo, Unidad Habitacional San Juan de Aragón, Del. G. Madero","AVENIDA 517 NO 143, PRIMER PISO, CENTRO SOCIAL M HIDALGO, UNIDAD HABITACIONAL SAN JUAN DE ARAGÓN, DEL G MADERO","25.770339700000477","-103.2718497139997","5551-5861"
"DISTRITO FEDERAL DF","JUZGADO N° 23","Cartagena 10, Col. Zacatenco, Del. G. Madero","CARTAGENA 10, COLONIA ZACATENCO, DEL G MADERO","25.770339700000477","-103.2718497139997","5119 4040"
"DISTRITO FEDERAL DF","JUZGADO N° 24 DEL REGISTRO CIVIL IZTACALCO","Plutarco E. Calles y Río Churubusco, Col. Ramos Millan, Del. Iztacalco","PLUTARCO E CALLES Y RÍO CHURUBUSCO, COLONIA RAMOS MILLAN, DEL IZTACALCO","0","0","5657 4226"
"DISTRITO FEDERAL DF","JUZGADO N° 25 DEL REGISTRO CIVIL IZTAPALAPA","Ayuntamiento (s/n), esquina Aldama, Jardín Cuitláhuac, Centro de Iztapalapa, Col. Barrio San Pablo, Del. Iztapalapa","AYUNTAMIENTO (S/N), ESQUINA ALDAMA, JARDÍN CUITLÁHUAC, CENTRO DE IZTAPALAPA, COLONIA BARRIO SAN PABLO, DEL IZTAPALAPA","0","0"," 5445 1035,  5686 7971 y 5445-1000, Ext. 1035, Archivo Directo 5445-1150"
"DISTRITO FEDERAL DF","JUZGADO N° 26 DEL REGISTRO CIVIL DE IZTAPALAPA","Anillo Periférico Super Mza. 7, entre Revolución Social y G. Magaña, Unidad Vicente Guerrero, Col. Vicente Guerrero, Del. Iztapalapa","ANILLO PERIFÉRICO SUPER MZA 7, ENTRE REVOLUCIÓN SOCIAL Y G MAGAÑA, UNIDAD VICENTE GUERRERO, COLONIA VICENTE GUERRERO, DEL IZTAPALAPA","19.34721030400044","-99.05891010199969","5613 5444"
"DISTRITO FEDERAL DF","JUZGADO N° 27 DEL REGISTRO CIVIL MAGDALENA CONTRERAS","Avenida Obregón 20, Col. Barranca Seca, Del. M. Contreras","AVENIDA OBREGÓN 20, COLONIA BARRANCA SECA, DEL M CONTRERAS","42.01945978200047","-3.409780266999576","5449-6000 (ext. 1206) y 5449 6067"
